[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/Downloads/multi-lab/backend_server/multi_lab/urls.py first seen with mtime 1736767542.508483
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/db/backends/ddl_references.py first seen with mtime 1735748701.2478907
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/xml/dom/xmlbuilder.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/email/base64mime.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/jinja2/nodes.py first seen with mtime 1735748700.5978873
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/urllib/__init__.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/PIL/_binary.py first seen with mtime 1735748699.9368842
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/contextlib.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/contrib/messages/views.py first seen with mtime 1735748701.1118898
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1735748701.2888908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/Downloads/multi-lab/backend_server/account/__init__.py first seen with mtime 1730289510.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1735748704.0129044
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/lib-dynload/termios.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1735748701.2938907
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1735748701.2988908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/db/models/sql/where.py first seen with mtime 1735748701.2698908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/contrib/admin/__init__.py first seen with mtime 1735748700.7838883
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/template/context.py first seen with mtime 1735748701.2888908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/asyncio/base_subprocess.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/psycopg2/extras.py first seen with mtime 1735748699.8838837
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/Downloads/multi-lab/backend_server/backed_project_multilab/settings.py first seen with mtime 1736866085.2897596
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/PIL/TiffTags.py first seen with mtime 1735748699.931884
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/db/__init__.py first seen with mtime 1735748701.2478907
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/db/models/sql/constants.py first seen with mtime 1735748701.2688906
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/locale.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/jinja2/loaders.py first seen with mtime 1735748700.5968874
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework_simplejwt/token_blacklist/__init__.py first seen with mtime 1735748704.743908
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/asyncio/staggered.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/exceptions.py first seen with mtime 1735748703.970904
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/forms/widgets.py first seen with mtime 1735748701.2728908
